,,,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,
Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Kansas City Chiefs,16,59,695,2,89,11.8,44,1316,2,108,29.9,7637
2,Seattle Seahawks,16,52,579,0,71,11.1,33,698,0,58,21.2,6970
3,Cincinnati Bengals,16,47,424,0,43,9.0,39,980,0,71,25.1,7625
4,Denver Broncos,16,44,343,1,81,7.8,39,974,1,105,25.0,8837
5,Baltimore Ravens,16,43,609,1,82,14.2,44,1163,1,77,26.4,7001
6,St. Louis Rams,16,43,378,1,98,8.8,37,835,0,32,22.6,6483
7,Houston Texans,16,42,360,1,87,8.6,51,1257,0,50,24.6,7533
8,Buffalo Bills,16,39,243,0,25,6.2,23,469,0,28,20.4,6470
9,Cleveland Browns,16,38,418,1,79,11.0,40,931,0,86,23.3,7092
10,Detroit Lions,16,38,392,1,58,10.3,34,816,1,98,24.0,7614
11,New England Patriots,16,36,387,0,43,10.8,39,935,0,83,24.0,7769
12,Washington Redskins,16,35,225,0,34,6.4,51,1018,0,39,20.0,7510
13,San Francisco 49ers,16,35,312,0,40,8.9,32,726,0,47,22.7,6507
14,New York Giants,16,34,246,0,32,7.2,44,933,0,56,21.2,6362
15,Miami Dolphins,16,34,264,0,34,7.8,42,901,0,50,21.5,6546
16,Arizona Cardinals,16,34,198,0,22,5.8,27,540,0,46,20.0,6626
17,Indianapolis Colts,16,33,326,0,51,9.9,43,1011,0,39,23.5,7080
18,Pittsburgh Steelers,16,32,409,1,67,12.8,43,962,0,46,22.4,7147
19,New Orleans Saints,16,32,194,0,28,6.1,22,506,0,82,23.0,7376
20,Dallas Cowboys,16,31,386,1,86,12.5,45,1147,0,90,25.5,7369
21,Tennessee Titans,16,31,240,0,35,7.7,44,1096,0,95,24.9,6982
22,Jacksonville Jaguars,16,30,142,0,17,4.7,41,1060,0,59,25.9,6225
23,Green Bay Packers,16,30,339,1,93,11.3,39,791,0,70,20.3,7879
24,Carolina Panthers,16,30,316,0,41,10.5,28,612,0,38,21.9,6322
25,Atlanta Falcons,16,30,250,0,25,8.3,27,659,0,40,24.4,6761
26,Philadelphia Eagles,16,26,171,0,32,6.6,37,790,0,47,21.4,7929
27,Oakland Raiders,16,25,206,0,30,8.2,54,1201,0,41,22.2,7147
28,New York Jets,16,25,224,0,24,9.0,45,1021,0,42,22.7,6640
29,Tampa Bay Buccaneers,16,24,268,0,52,11.2,34,811,0,44,23.9,5868
30,Minnesota Vikings,16,22,335,1,86,15.2,66,1646,2,109,24.9,7759
31,San Diego Chargers,16,22,166,0,28,7.5,32,707,0,42,22.1,7339
32,Chicago Bears,16,18,256,1,81,14.2,70,1614,0,80,23.1,8180